Question,Answer
"What is Gradient Descent?","Gradient descent is an optimization algorithm used to minimize the loss function by iteratively moving towards the steepest descent direction."
"What are Activation Functions?","Activation functions determine the output of a neural network node, introducing non-linearity into the model. Common examples include sigmoid, ReLU, and tanh."
"What is the purpose of the Learning Rate in Machine Learning?","The learning rate controls how much to change the model in response to the estimated error each time the model weights are updated."
"What is the significance of the ROC Curve?","The ROC curve illustrates the diagnostic ability of a binary classifier system as its discrimination threshold is varied, showing the trade-off between sensitivity and specificity."
"What are Ensemble Methods?","Ensemble methods combine predictions from multiple models to improve accuracy and robustness, examples include bagging, boosting, and stacking."
"What is the difference between L1 and L2 Regularization?","L1 regularization (Lasso) adds a penalty equal to the absolute value of the magnitude of coefficients, while L2 regularization (Ridge) adds a penalty equal to the square of the magnitude of coefficients."
"What is a Support Vector Machine (SVM)?","SVM is a supervised learning model used for classification and regression tasks that finds the hyperplane that best separates different classes in the feature space."
"What is the purpose of a Learning Curve?","A learning curve shows the relationship between the size of the training set and the model's performance, helping to diagnose bias and variance issues."
"What is the difference between a Model and an Algorithm?","An algorithm is a set of rules or instructions for solving a problem, while a model is the output of an algorithm after it has been trained on data."
"What is Dimensionality Reduction?","Dimensionality reduction techniques reduce the number of input variables in a dataset, helping to simplify models and improve performance. Examples include PCA and t-SNE."
"What is the significance of the F1 Score?","The F1 score is the harmonic mean of precision and recall, providing a balance between the two metrics, especially useful for imbalanced datasets."
"What is the difference between Classification and Regression?","Classification predicts categorical outcomes, while regression predicts continuous outcomes."
"What are the key differences between AI, Machine Learning, and Deep Learning?","AI is the broader concept of machines performing tasks intelligently, ML is a subset of AI focused on learning from data, and DL is a subset of ML that uses neural networks with many layers."
